epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9789,1.57162,2.86004,1.84349,0.1691,0.21408,0.0774,0.034,2.12561,3.66937,2.51783,0.0700701,0.00332555,0.00332555
2,137.088,1.59333,2.599,1.86731,0.53771,0.10274,0.09646,0.03924,2.01794,6.62771,2.41849,0.0399382,0.00652703,0.00652703
3,202.16,1.5287,2.38821,1.792,0.57067,0.23144,0.20385,0.10203,1.69565,2.5215,1.97892,0.0096744,0.00959652,0.00959652
4,265.933,1.46554,2.22529,1.72592,0.32892,0.35441,0.24819,0.13153,1.62165,2.23393,1.87395,0.009406,0.009406,0.009406
5,330.196,1.42566,2.11991,1.70587,0.28843,0.33571,0.28109,0.15606,1.582,2.10178,1.87694,0.009208,0.009208,0.009208
6,394.334,1.38033,2.03826,1.65417,0.35805,0.36791,0.32834,0.18972,1.51768,1.96909,1.8073,0.00901,0.00901,0.00901
7,458.523,1.36232,1.95678,1.64948,0.32949,0.41441,0.32241,0.17818,1.57138,2.11088,1.88272,0.008812,0.008812,0.008812
8,522.037,1.35657,1.89514,1.63549,0.40797,0.35406,0.3478,0.20622,1.47516,2.00752,1.76711,0.008614,0.008614,0.008614
9,586.59,1.32692,1.84095,1.60091,0.43669,0.37981,0.37264,0.22003,1.44566,1.90813,1.71922,0.008416,0.008416,0.008416
10,651.828,1.29837,1.77448,1.58865,0.45301,0.43481,0.40961,0.23788,1.41268,1.71833,1.71311,0.008218,0.008218,0.008218
11,715.466,1.29224,1.74091,1.58116,0.46325,0.45284,0.43098,0.26111,1.39471,1.7139,1.72122,0.00802,0.00802,0.00802
12,779.163,1.28248,1.70601,1.57564,0.51624,0.46046,0.44925,0.28333,1.33692,1.67166,1.66616,0.007822,0.007822,0.007822
13,843.343,1.25602,1.64374,1.54381,0.47505,0.4863,0.47779,0.2941,1.35126,1.58815,1.64317,0.007624,0.007624,0.007624
14,907.081,1.24318,1.62615,1.54703,0.45781,0.52508,0.47939,0.29203,1.36425,1.5874,1.64354,0.007426,0.007426,0.007426
15,971.407,1.23972,1.59011,1.53295,0.55113,0.4689,0.48568,0.29808,1.34761,1.5577,1.63462,0.007228,0.007228,0.007228
16,1035.41,1.21484,1.52224,1.51402,0.51669,0.55413,0.52225,0.32969,1.28847,1.47901,1.59708,0.00703,0.00703,0.00703
17,1099.56,1.20555,1.49454,1.5058,0.53864,0.52864,0.48937,0.30951,1.32608,1.52968,1.61202,0.006832,0.006832,0.006832
18,1168.97,1.18982,1.48379,1.49417,0.55098,0.51216,0.5139,0.3297,1.30848,1.49989,1.59748,0.006634,0.006634,0.006634
